Gids,SOC,Pack Volts,Pack T1 F,epoch time,Charge Mode,OBC Out Pwr,Pack Amps
137,626593,386.1,69.6,1626021900,2,60,16.1
137,627188,386.2,69.6,1626021904,2,60,16.1
138,627832,386.2,69.6,1626021907,2,60,15.5
138,628368,386.2,69.4,1626021910,2,60,16.1
138,628862,386.2,69.6,1626021913,2,60,15.9
138,629338,386.2,69.4,1626021916,2,60,16.1
138,629916,386.2,69.6,1626021920,2,60,16.0
138,630577,386.2,69.6,1626021925,2,60,16.1
138,631329,386.3,69.4,1626021928,2,60,16.1
139,631897,386.2,69.6,1626021931,2,60,16.4
139,632376,386.2,69.6,1626021934,2,60,15.9
